bikepoint_id,bikepoint_name,place_type,lat,lon,postcode,lsoa,lsoa_code,msoa,msoa_code,ward,ward_code,local_authority,local_authority_code
BikePoints_85,"Tanner Street, Bermondsey",BikePoint,51.500647,-0.0786,SE1 3JB,Southwark 003I,E01032646,Southwark 003,E02000809,London Bridge & West Bermondsey,E05011104,Southwark,E09000028
BikePoints_86,"Sancroft Street, Vauxhall",BikePoint,51.489479,-0.115156,SE11 5NF,Lambeth 003B,E01003105,Lambeth 003,E02000620,Prince's,E05000427,Lambeth,E09000022
BikePoints_87,"Devonshire Square, Liverpool Street",BikePoint,51.516468,-0.079684,EC2M 4UJ,City of London 001F,E01032739,City of London 001,E02000001,Bishopsgate,E05009292,City of London,E09000001
BikePoints_88,"Bayley Street , Bloomsbury",BikePoint,51.518587,-0.132053,W1T 7RB,Camden 026A,E01000850,Camden 026,E02000191,Bloomsbury,E05000129,Camden,E09000007
BikePoints_89,"Tavistock Place, Bloomsbury",BikePoint,51.52625,-0.123509,WC1H 9RW,Camden 025B,E01000937,Camden 025,E02000190,King's Cross,E05000141,Camden,E09000007
BikePoints_90,"Harrington Square 1, Camden Town",BikePoint,51.533019,-0.139174,NW1 7AW,Camden 021C,E01000947,Camden 021,E02000186,Regent's Park,E05000142,Camden,E09000007
BikePoints_91,"Walnut Tree Walk, Vauxhall",BikePoint,51.493686,-0.111014,SE11 6RB,Lambeth 002A,E01003015,Lambeth 002,E02000619,Bishop's,E05000416,Lambeth,E09000022
BikePoints_92,"Borough Road, Elephant & Castle",BikePoint,51.498898,-0.10044,SE1 0AJ,Southwark 034B,E01003932,Southwark 034,E02006802,St George's,E05011114,Southwark,E09000028
BikePoints_93,"Cloudesley Road, Angel",BikePoint,51.534408,-0.109025,N1 0XT,Islington 020A,E01002696,Islington 020,E02000573,Barnsbury,E05000366,Islington,E09000019
BikePoints_94,"Bricklayers Arms, Borough",BikePoint,51.495061,-0.085814,SE1 4TD,Southwark 006C,E01003941,Southwark 006,E02000812,Chaucer,E05011098,Southwark,E09000028
BikePoints_95,"Aldersgate Street, Barbican",BikePoint,51.520841,-0.09734,EC1A 4JR,City of London 001A,E01000001,City of London 001,E02000001,Aldersgate,E05009288,City of London,E09000001
BikePoints_96,"Falkirk Street, Hoxton",BikePoint,51.53095,-0.078505,N1 6SA,Hackney 027B,E01001777,Hackney 027,E02000371,Hoxton East & Shoreditch,E05009377,Hackney,E09000012
BikePoints_97,"Gloucester Road (North), Kensington",BikePoint,51.497924,-0.183834,SW7 4UB,Kensington and Chelsea 010C,E01002890,Kensington and Chelsea 010,E02000586,Queen's Gate,E05009401,Kensington and Chelsea,E09000020
BikePoints_98,"Hampstead Road, Euston",BikePoint,51.525542,-0.138231,NW1 2AF,Camden 021B,E01000946,Camden 021,E02000186,Regent's Park,E05000142,Camden,E09000007
BikePoints_99,"Old Quebec Street, Marylebone",BikePoint,51.514577,-0.158264,W1H 7JP,Westminster 012A,E01004657,Westminster 012,E02000971,Bryanston and Dorset Square,E05000632,Westminster,E09000033
BikePoints_100,"Albert Embankment, Vauxhall",BikePoint,51.490435,-0.122806,SE1 7AP,Lambeth 003E,E01003109,Lambeth 003,E02000620,Prince's,E05000427,Lambeth,E09000022
BikePoints_101,"Queen Street 1, Bank",BikePoint,51.511553,-0.09294,EC4R 1BR,City of London 001F,E01032739,City of London 001,E02000001,Vintry,E05009311,City of London,E09000001
BikePoints_102,"Jewry Street, Aldgate",BikePoint,51.513406,-0.076793,EC3N 2ER,City of London 001F,E01032739,City of London 001,E02000001,Tower,E05009310,City of London,E09000001
